ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple
[[1.9422552e-05]],0.036084,,
[[9.1191316e-05]],0.029505262,,
[[0.00029048]],0.03776799,,
[[0.00019084]],0.03187802,,
[[0.00114543]],0.026037864,,
[[2.6893014e-05]],0.03544415,,
[[0.00033201]],0.028455567,,
[[3.9512597e-06]],0.032483805,,
[[0.0001422]],0.034205567,,
[[0.00019169]],0.033939913,,
[[5.8460293e-05]],0.029373698,,
[[0.00020435]],0.0361402,,
[[3.9920214e-05]],0.030996738,,
[[0.00159771]],0.031210694,,
[[0.00020424]],0.030857861,,
,,0.8,0.78
[[3.46678e-05]],0.038328182,,
[[0.00051566]],0.02596265,,
[[0.00077441]],0.038414847,,
[[4.6893406e-06]],0.035996452,,
[[0.00054715]],0.03588802,,
[[1.0249258e-05]],0.030968962,,
[[0.00062415]],0.03979856,,
[[0.00013173]],0.03374594,,
[[5.3540516e-05]],0.041148197,,
[[3.964315e-06]],0.036142044,,
[[0.00021825]],0.034479108,,
[[0.00174187]],0.02955129,,
[[6.4675616e-05]],0.028539427,,
[[2.479219e-05]],0.031464923,,
[[0.00412908]],0.03872149,,
[[6.5098684e-05]],0.031546947,,
,,0.84,0.86
[[0.00012411]],0.03413073,,
[[0.00043332]],0.031581074,,
[[8.537219e-06]],0.03256045,,
[[0.00041239]],0.031566795,,
[[6.151705e-05]],0.029213693,,
[[0.00125104]],0.034372125,,
[[1.3089029e-05]],0.029849924,,
[[3.2539643e-05]],0.033115834,,
[[0.00017604]],0.028570686,,
[[1.8254015e-05]],0.030065216,,
[[0.00062081]],0.040024336,,
[[2.302e-05]],0.03353154,,
[[6.1860694e-05]],0.02832849,,
[[2.5835916e-05]],0.03454888,,
[[0.00274366]],0.02612601,,
[[2.1344664e-05]],0.032251853,,
,,0.88,0.82
[[3.2448118e-06]],0.031358503,,
[[0.0025374]],0.02893055,,
[[3.4104927e-05]],0.0342247,,
[[0.00016396]],0.042027988,,
[[0.00090217]],0.028165964,,
[[1.0374196e-05]],0.03298481,,
[[0.00028]],0.042821087,,
[[1.9737101e-05]],0.028417723,,
[[0.00014144]],0.03499881,,
[[2.059131e-05]],0.03215985,,
[[3.857412e-05]],0.029236378,,
[[0.00028844]],0.0296839,,
[[1.6975775e-05]],0.03168587,,
[[0.00067017]],0.03561654,,
[[1.9009733e-05]],0.033309888,,
[[0.00034312]],0.03312075,,
,,0.8,0.74
[[0.00039727]],0.036253747,,
[[6.3609405e-05]],0.032137107,,
[[0.00219164]],0.034734264,,
[[4.162463e-05]],0.035005018,,
[[0.00047139]],0.034383923,,
[[9.847123e-06]],0.035402175,,
[[8.6455686e-05]],0.03390441,,
[[4.1589174e-06]],0.028947175,,
[[0.000336]],0.039573103,,
[[0.00140953]],0.03934562,,
[[1.5548167e-05]],0.031915344,,
[[0.00056633]],0.027778225,,
[[0.00012464]],0.02978728,,
[[2.3207594e-05]],0.031299233,,
[[0.00079151]],0.031611826,,
[[0.00031333]],0.03231671,,
,,0.84,0.82
[[7.4908917e-06]],0.035929352,,
[[7.917618e-05]],0.03131721,,
[[4.8932456e-05]],0.026333522,,
[[0.00016913]],0.03881728,,
[[0.0001742]],0.03799751,,
[[3.973382e-05]],0.029327355,,
[[3.2662945e-05]],0.03140528,,
[[0.00037847]],0.02984409,,
[[0.00016257]],0.039649982,,
[[0.00023472]],0.03188615,,
[[7.862996e-05]],0.0350256,,
[[4.0735442e-05]],0.034637388,,
[[0.00018053]],0.031573605,,
[[2.7619495e-05]],0.035904318,,
[[0.00030111]],0.030859089,,
[[0.0007648]],0.026331937,,
,,0.9,0.84
[[1.9948735e-05]],0.034677785,,
[[0.00061696]],0.030775618,,
[[4.7484096e-05]],0.029822147,,
[[0.00016807]],0.026532026,,
[[0.00014791]],0.028782232,,
[[5.1832816e-05]],0.026321486,,
[[0.00091726]],0.035753593,,
[[2.5120105e-05]],0.033895697,,
[[9.6471915e-05]],0.03307817,,
[[0.00073645]],0.032918166,,
[[9.555359e-05]],0.03239882,,
[[0.00062346]],0.039184295,,
[[8.155938e-06]],0.030475138,,
[[0.00174089]],0.0320712,,
[[4.0723742e-05]],0.03139056,,
[[0.00294416]],0.041700657,,
,,0.8,0.72
[[1.849661e-05]],0.040063363,,
[[2.3968092e-05]],0.039185956,,
[[0.00057189]],0.02742244,,
[[1.736646e-05]],0.03226248,,
[[0.00139443]],0.036269594,,
[[2.7812264e-05]],0.03404226,,
[[8.657763e-06]],0.03034864,,
[[0.00010578]],0.035282444,,
[[6.3004313e-06]],0.030825527,,
[[0.00014659]],0.03359234,,
[[0.00023129]],0.030484824,,
[[6.41331e-06]],0.027915923,,
[[0.00032352]],0.024124708,,
[[1.3627152e-05]],0.039414708,,
[[0.00022651]],0.033696655,,
[[4.4206618e-06]],0.029053776,,
,,0.88,0.88
[[7.451606e-05]],0.029486433,,
[[1.1087049e-05]],0.036938917,,
[[0.00070513]],0.032405928,,
[[3.570901e-05]],0.028982336,,
[[5.0203642e-05]],0.035206117,,
[[1.632943e-05]],0.026320621,,
[[0.00034753]],0.031588037,,
[[4.783002e-06]],0.034807254,,
[[0.00125537]],0.02677489,,
[[3.6323618e-05]],0.035133082,,
[[8.376825e-05]],0.034717906,,
[[7.52143e-05]],0.03357208,,
[[0.00031468]],0.034579065,,
[[1.2376728e-05]],0.034651842,,
[[0.00125585]],0.037281826,,
[[9.245461e-06]],0.027940549,,
,,0.86,0.9
[[2.1175058e-05]],0.038079306,,
[[5.951219e-06]],0.036959898,,
[[9.715749e-05]],0.027394552,,
[[0.00013304]],0.03350977,,
[[0.00026604]],0.03317429,,
[[8.2333514e-05]],0.030628063,,
[[1.3977372e-05]],0.026776688,,
[[0.00020053]],0.034226153,,
[[7.22644e-06]],0.034377556,,
[[0.00024848]],0.029889297,,
[[2.5847881e-05]],0.029772783,,
[[3.1534528e-05]],0.033272177,,
[[0.00171276]],0.03135737,,
[[2.09687e-05]],0.03277063,,
[[0.0001503]],0.03187419,,
[[6.050153e-05]],0.030982511,,
,,0.82,0.86
[[0.00023701]],0.032425467,,
[[7.720027e-05]],0.032964315,,
[[4.200978e-05]],0.034329094,,
[[0.00061205]],0.027005576,,
[[2.6746173e-05]],0.033131003,,
[[3.6509014e-06]],0.033493795,,
[[8.260475e-05]],0.026350368,,
[[0.00058836]],0.03553655,,
[[4.0752584e-05]],0.029978188,,
[[7.516953e-05]],0.03152952,,
[[0.00023671]],0.02857716,,
[[4.0461357e-05]],0.035259284,,
[[0.00029035]],0.03356645,,
[[0.00068346]],0.02646119,,
[[1.289014e-05]],0.03115636,,
[[2.7995211e-05]],0.03016045,,
,,0.7,0.86
[[0.00020138]],0.028405827,,
[[9.519693e-05]],0.031995345,,
[[0.00083168]],0.030173948,,
[[2.5867474e-05]],0.036437873,,
[[0.00022108]],0.03141165,,
[[0.0003299]],0.034581173,,
[[2.9961388e-05]],0.02779958,,
[[0.00013883]],0.0330776,,
[[0.00027736]],0.0389373,,
[[0.00046036]],0.034461007,,
[[5.623462e-05]],0.035844453,,
[[3.1539097e-05]],0.029924894,,
[[0.00040488]],0.0390309,,
[[0.00018551]],0.034766328,,
[[3.3206222e-06]],0.037869938,,
[[0.00063724]],0.029028703,,
,,0.84,0.86
[[0.00056121]],0.02519116,,
[[5.7091922e-05]],0.03566825,,
[[0.00024229]],0.03050231,,
[[3.7660924e-05]],0.032932267,,
[[0.00134871]],0.025169617,,
[[0.00015422]],0.03520601,,
[[5.4830325e-05]],0.030506277,,
[[0.00042692]],0.029730858,,
[[1.5662245e-05]],0.030752674,,
[[0.00028091]],0.026921175,,
[[5.9945418e-05]],0.031581525,,
[[4.308852e-05]],0.031618904,,
[[3.177504e-05]],0.036532342,,
[[7.510062e-05]],0.024390807,,
[[0.00092711]],0.028829759,,
[[1.5834863e-05]],0.030399907,,
,,0.86,0.82
[[3.5503646e-05]],0.030972654,,
[[0.00030122]],0.028741425,,
[[0.00026841]],0.03248772,,
[[4.4159027e-05]],0.031976942,,
[[2.1029595e-05]],0.03087843,,
[[0.00032383]],0.03201693,,
[[6.248368e-05]],0.02969931,,
[[0.00019951]],0.03361903,,
[[7.680025e-06]],0.037901282,,
[[0.00013804]],0.0333248,,
[[6.1006354e-05]],0.031428218,,
[[0.00144508]],0.030608986,,
[[1.6822009e-05]],0.029644853,,
[[0.00014671]],0.026837485,,
[[0.0014925]],0.030344257,,
[[1.5737829e-05]],0.02614832,,
,,0.8,0.78
[[0.0003515]],0.026591267,,
[[0.00012571]],0.035181344,,
[[1.37057e-05]],0.026270265,,
[[0.00027181]],0.03490014,,
[[6.2109684e-06]],0.029252283,,
[[0.00181686]],0.029273417,,
[[2.0693646e-05]],0.02899683,,
[[9.6870805e-05]],0.03093816,,
[[0.00010033]],0.02935884,,
[[6.5046484e-06]],0.03603707,,
[[0.00022014]],0.029431982,,
[[0.00210899]],0.024129987,,
[[3.8250775e-05]],0.026906492,,
[[4.3319807e-05]],0.033999156,,
[[0.0007847]],0.0370396,,
[[5.4741773e-05]],0.034051474,,
,,0.84,0.76
[[0.00062931]],0.0339302,,
[[1.163733e-05]],0.031298853,,
[[2.5308267e-05]],0.026717246,,
[[0.00014957]],0.029302131,,
[[0.00117983]],0.028079163,,
[[1.8597637e-05]],0.034294903,,
[[3.0638763e-05]],0.024466198,,
[[0.0005046]],0.0324797,,
[[0.00011435]],0.03295665,,
